Hourly Dry Bulb (deg C),Hourly Wet Bulb (deg C),Hourly Direct Normal Irradiance (W/m2),Hourly Diffuse Horizontal Irradiance (W/m2),Hourly Global Horizontal Irradiance (W/m2),Hourly Albedo,Hourly Wind Speed (m/s)
13.3,10.07331886,0,0,0,0.13,0
13.9,9.542520867,0,0,0,0.13,4.1
13.3,9.380287322,0,0,0,0.13,5.7
13.3,9.570623744,0,0,0,0.13,5.2
13.3,9.665464933,0,0,0,0.13,5.2
12.8,9.665556322,0,0,0,0.13,6.2
12.8,9.814212028,1,13,13,0.13,4.6
12.8,10.43321789,37,78,86,0.13,5.2
12.8,11.57070212,42,186,204,0.13,5.7
13.3,12.18831349,1,133,133,0.13,4.6
13.9,12.44485822,188,310,439,0.13,5.2
13.9,12.82747721,177,319,453,0.13,5.2
13.9,13.58031228,59,313,359,0.13,5.7
13.9,13.9294787,312,276,505,0.13,5.7
13.9,14.34564986,401,276,535,0.13,4.1
14.4,14.38748604,284,138,284,0.13,6.7
13.3,13.82414488,329,112,225,0.13,8.2
12.2,12.93466256,120,62,80,0.13,7.2
11.7,13.63700633,1,1,1,0.13,6.7
10.6,12.92004676,0,0,0,0.13,6.7
10.6,12.05695116,0,0,0,0.13,6.2
10.6,11.7509805,0,0,0,0.13,5.7
10.6,11.42403708,0,0,0,0.13,4.1
10,11.33570809,0,0,0,0.13,4.6
10,11.33570809,0,0,0,0.13,4.6
9.4,11.33570809,0,0,0,0.13,2.1
8.9,11.33570809,0,0,0,0.13,1.5
8.3,11.33570809,0,0,0,0.13,0
6.7,10.97129042,0,0,0,0.13,3.1
6.7,10.97018191,0,0,0,0.13,2.6
7.2,10.88349873,19,15,16,0.13,1.5
10.6,11.28184612,254,93,152,0.13,1.5
12.8,11.21359824,452,150,339,0.13,0
13.3,11.34767098,547,216,531,0.13,2.1
13.9,12.00629584,579,235,636,0.13,2.6
14.4,12.80686603,742,209,773,0.13,3.6
16.1,12.76948155,682,213,743,0.13,2.1
16.7,12.63491612,632,228,695,0.13,2.6
17.8,12.86666067,566,217,585,0.13,0
14.4,12.9844982,109,185,242,0.13,8.2
13.9,12.82425505,38,93,107,0.13,8.8
12.8,12.07415152,23,50,53,0.13,8.2
11.7,11.20887617,0,2,2,0.13,7.7
11.7,11.09582511,0,0,0,0.13,7.2
11.1,11.20039072,0,0,0,0.13,6.2
11.1,10.7590742,0,0,0,0.13,4.6
11.1,10.93663518,0,0,0,0.13,4.6
11.1,11.02665561,0,0,0,0.13,2.6
11.1,11.09629518,0,0,0,0.13,2.1
10.6,11.28878209,0,0,0,0.13,1.5
11.1,11.33593115,0,0,0,0.13,0
11.1,11.38504249,0,0,0,0.13,2.6
10.6,11.68035131,0,0,0,0.13,1.5
10.6,11.1609817,0,0,0,0.13,4.6
11.1,11.28189949,23,15,16,0.13,4.1
12.2,11.97499413,64,119,135,0.13,5.2
13.3,12.34253557,63,180,207,0.13,5.2
12.8,12.59771019,191,288,399,0.13,5.2
13.9,13.07499495,174,201,322,0.13,4.6
14.4,14.49234924,351,217,486,0.13,5.7
13.9,15.2026186,103,307,388,0.13,5.2
15.6,14.64485625,352,284,546,0.13,6.2
16.1,14.79226299,554,135,497,0.13,5.7
15,15.07815359,651,122,461,0.13,6.2
13.9,14.71391823,553,111,305,0.13,7.2
12.8,13.94844021,249,57,96,0.13,5.7
11.7,13.36142584,19,1,2,0.13,4.6
11.1,13.00656244,0,0,0,0.13,3.6
11.7,12.92782975,0,0,0,0.13,3.6
12.2,12.61478305,0,0,0,0.13,4.1
11.7,12.06002536,0,0,0,0.13,5.2
11.1,11.30213012,0,0,0,0.13,3.6
10.6,10.83902104,0,0,0,0.13,7.2
9.4,10.59625253,0,0,0,0.13,3.1
10,10.18749926,0,0,0,0.13,5.2
10,9.419509022,0,0,0,0.13,5.7
8.9,9.072482389,0,0,0,0.13,4.1
8.3,9.277451328,0,0,0,0.13,5.2
8.3,9.399993894,69,15,20,0.13,8.8
10,10.61300874,453,63,173,0.13,9.3
10.6,11.78923078,682,88,380,0.13,10.8
11.7,12.18831349,794,108,573,0.13,7.2
12.8,12.99095319,812,120,689,0.13,3.1
13.9,12.96208699,583,196,644,0.13,3.1
14.4,12.70709171,823,129,775,0.13,2.1
15.6,12.34166837,777,132,713,0.13,5.7
15,11.95212903,830,118,664,0.13,8.2
13.9,11.74741381,761,100,499,0.13,7.7
13.3,11.14358192,628,74,296,0.13,9.3
12.2,11.0634979,339,44,98,0.13,8.2
11.7,10.85101232,13,1,2,0.13,8.8
11.1,10.75397028,0,0,0,0.13,6.7
10.6,11.06187673,0,0,0,0.13,5.2
10.6,11.55971876,0,0,0,0.13,5.2
10.6,12.08097502,0,0,0,0.13,5.2
10,12.14285153,0,0,0,0.13,4.6
9.4,11.64372124,0,0,0,0.13,3.6
9.4,11.36381898,0,0,0,0.13,3.1
8.9,11.49759669,0,0,0,0.13,2.6
7.8,11.43742322,0,0,0,0.13,2.6
7.2,11.55935128,0,0,0,0.13,3.1
7.8,12.22390698,0,0,0,0.13,1.5
7.8,12.73412351,152,15,26,0.13,0
11.1,12.76137848,573,49,190,0.13,0
13.3,12.38749629,760,72,400,0.13,1.5
14.4,11.97527298,849,90,590,0.13,5.2
14.4,11.44011388,896,102,734,0.13,7.7
15,11.45506216,918,109,819,0.13,7.7
15.6,10.8193644,923,110,839,0.13,10.3
15,10.70332599,898,111,785,0.13,8.2
14.4,10.50881699,859,101,669,0.13,8.8
13.3,10.97939788,818,83,514,0.13,10.8
12.8,11.09837039,698,62,312,0.13,11.3
11.7,10.78864209,428,38,108,0.13,10.8
11.1,10.30923961,31,2,3,0.13,4.6
10.6,9.583810917,0,0,0,0.13,4.1
10.6,9.31188515,0,0,0,0.13,5.2
10.6,9.492547983,0,0,0,0.13,5.2
10.6,10.83340669,0,0,0,0.13,3.6
10.6,9.836386611,0,0,0,0.13,3.1
10.6,8.794086928,0,0,0,0.13,3.1
11.1,8.301426794,0,0,0,0.13,3.6
10.6,7.838647456,0,0,0,0.13,3.1
11.1,8.052141728,0,0,0,0.13,3.1
10,7.922710533,0,0,0,0.13,3.1
10,7.389100878,0,0,0,0.13,2.1
11.1,7.170888089,0,14,14,0.13,2.6
12.8,7.545252472,0,56,56,0.13,2.6
12.2,7.872375794,0,104,104,0.13,6.2
14.4,8.566704444,221,255,386,0.13,6.2
14.4,8.834192006,72,325,377,0.13,6.2
15.6,8.592783317,628,229,718,0.13,6.2
15.6,9.0104725,632,241,742,0.13,10.3
15,8.487157861,580,254,692,0.13,7.7
13.9,8.468479533,588,222,613,0.13,6.7
13.3,8.591622278,510,147,418,0.13,10.3
11.7,8.030622333,244,94,182,0.13,10.8
11.1,7.586398317,47,51,59,0.13,9.8
10.6,7.475519683,0,3,3,0.13,7.7
10,7.814211467,0,0,0,0.13,9.3
10,8.023955872,0,0,0,0.13,10.3
10,8.024301056,0,0,0,0.13,11.3
9.4,8.024301056,0,0,0,0.13,10.8
8.9,8.1349643,0,0,0,0.13,7.2
8.9,8.066123261,0,0,0,0.13,6.7
8.3,8.661785917,0,0,0,0.13,6.2
8.3,8.918207972,0,0,0,0.13,6.2
8.9,8.979352778,0,0,0,0.13,6.7
8.3,8.903408928,0,0,0,0.13,6.2
8.3,9.174996772,0,0,0,0.13,4.1
6.7,10.08741733,99,21,29,0.13,4.1
9.4,10.12239941,111,115,143,0.13,6.2
7.2,10.40876107,88,229,268,0.13,7.2
9.4,10.35095516,280,301,469,0.13,5.2
10.6,11.46882009,330,279,515,0.13,7.2
11.1,10.06505007,94,332,407,0.13,9.3
11.1,9.120060283,655,111,633,0.13,9.8
11.1,9.668347228,709,179,717,0.13,10.3
11.1,9.672611522,374,160,410,0.13,10.3
10.6,9.55441085,713,130,511,0.13,9.3
10,9.10027675,496,99,280,0.13,8.2
9.4,8.456744978,271,54,101,0.13,8.2
8.9,7.930184533,12,3,4,0.13,7.2
8.9,7.033485356,0,0,0,0.13,5.2
8.3,6.457541228,0,0,0,0.13,5.7
8.3,6.023418333,0,0,0,0.13,2.6
6.7,6.668534028,0,0,0,0.13,3.1
7.2,6.877286911,0,0,0,0.13,0
6.7,5.880454311,0,0,0,0.13,2.6
5,5.579207256,0,0,0,0.13,2.1
6.1,5.845937539,0,0,0,0.13,0
5,6.053835622,0,0,0,0.13,1.5
4.4,5.912103261,0,0,0,0.13,2.1
4.4,6.381446811,0,0,0,0.13,3.1
5.6,6.68696255,2,24,24,0.13,2.6
7.8,6.668786672,0,66,66,0.13,3.1
10,6.994850072,0,136,136,0.13,4.1
10.6,7.183831689,0,204,204,0.13,6.2
11.7,8.82527095,0,255,255,0.13,6.7
12.8,9.326414056,0,284,284,0.13,4.1
13.9,7.579890483,333,391,658,0.13,6.2
13.3,8.804145494,274,249,458,0.13,7.7
13.3,9.423039094,0,234,234,0.13,7.2
13.3,8.74088655,84,180,226,0.13,7.7
12.8,8.690268611,46,88,105,0.13,6.7
12.2,8.244021167,11,50,52,0.13,7.2
11.7,7.655476211,0,5,5,0.13,4.1
11.1,7.639367172,0,0,0,0.13,7.2
11.1,7.441763594,0,0,0,0.13,8.2
11.1,7.044224917,0,0,0,0.13,7.2
11.1,6.907599572,0,0,0,0.13,8.2
11.7,6.907599572,0,0,0,0.13,9.3
11.7,6.908172694,0,0,0,0.13,9.8
10.6,6.216978661,0,0,0,0.13,7.7
10.6,5.662952933,0,0,0,0.13,8.8
10,5.428038744,0,0,0,0.13,8.8
10,4.821478767,0,0,0,0.13,6.2
10,4.632134022,0,0,0,0.13,8.2
10.6,4.908100483,4,23,23,0.13,8.2
11.1,6.548953606,16,77,82,0.13,8.2
12.2,8.100723322,58,251,277,0.13,9.3
12.8,8.335051956,40,244,268,0.13,13.4
13.3,8.106168833,0,254,254,0.13,11.3
13.9,8.290108533,0,284,284,0.13,10.3
13.9,7.977563611,0,232,232,0.13,10.8
13.3,8.642236644,0,218,218,0.13,11.3
12.2,8.832028639,0,233,233,0.13,7.2
11.1,8.993119128,0,138,138,0.13,6.2
10.6,9.363249972,0,81,81,0.13,5.2
10,9.343687794,0,44,44,0.13,8.2
10,8.607810572,0,2,2,0.13,6.2
9.4,8.038799078,0,0,0,0.13,4.6
8.9,7.812248061,0,0,0,0.13,2.1
8.3,7.886141844,0,0,0,0.13,5.7
8.3,7.626665028,0,0,0,0.13,3.6
8.3,7.116374556,0,0,0,0.13,2.1
8.3,6.93190715,0,0,0,0.13,0
8.3,6.571635722,0,0,0,0.13,1.5
7.8,6.215478872,0,0,0,0.13,0
7.8,5.933115333,0,0,0,0.13,0
7.8,5.495616911,0,0,0,0.13,1.5
7.2,5.268672233,0,0,0,0.13,2.6
7.2,5.603864978,19,32,34,0.13,2.1
8.9,5.997294317,232,110,174,0.13,2.6
9.4,6.770243194,301,127,265,0.13,3.1
11.1,7.376481294,498,218,524,0.13,2.1
12.8,7.756187183,327,349,588,0.13,2.6
12.8,8.791606578,448,304,660,0.13,2.6
13.9,9.453749667,617,291,791,0.13,3.1
13.9,9.381355989,76,320,379,0.13,2.1
13.9,9.46130705,141,241,337,0.13,5.2
13.3,9.821296411,152,314,397,0.13,6.2
12.8,9.850136544,490,109,292,0.13,6.7
11.7,9.754834206,264,49,96,0.13,7.7
10.6,8.96236905,8,3,4,0.13,6.7
10.6,8.494146122,0,0,0,0.13,6.2
10.6,8.491809489,0,0,0,0.13,4.1
10.6,8.491809489,0,0,0,0.13,3.6
10.6,7.355841139,0,0,0,0.13,5.2
10.6,7.211959178,0,0,0,0.13,4.6
10.6,6.289644172,0,0,0,0.13,4.6
11.1,5.924578089,0,0,0,0.13,6.7
11.1,5.960219861,0,0,0,0.13,5.7
11.1,6.028538106,0,0,0,0.13,5.7
10.6,5.85331235,0,0,0,0.13,3.1
11.1,5.413749044,0,0,0,0.13,2.1
11.1,4.459130989,1,27,27,0.13,2.1
11.7,6.647528822,54,146,161,0.13,2.6
13.3,9.419239661,362,162,330,0.13,1.5
15,10.07872274,463,206,492,0.13,3.1
15,9.952784433,633,242,706,0.13,3.1
16.7,10.14812461,667,258,791,0.13,3.1
16.7,9.8874541,673,262,809,0.13,6.2
17.8,10.08148718,654,252,758,0.13,6.2
16.1,10.40655134,606,228,642,0.13,8.2
15.6,10.38390442,516,189,471,0.13,7.2
13.9,10.26044802,361,134,270,0.13,8.2
12.2,9.750883228,118,68,90,0.13,7.7
11.1,9.280309583,0,4,4,0.13,7.2
10.6,8.883913311,0,0,0,0.13,7.2
10,8.771369989,0,0,0,0.13,5.2
10,8.30814405,0,0,0,0.13,5.7
10,8.323672972,0,0,0,0.13,4.1
10,8.180157667,0,0,0,0.13,3.6
10,6.974050222,0,0,0,0.13,5.2
10.6,6.224200489,0,0,0,0.13,3.6
10.6,6.625609228,0,0,0,0.13,3.1
10,6.463772178,0,0,0,0.13,0
10,5.791493078,0,0,0,0.13,2.6
10,5.601504617,0,0,0,0.13,3.1
10,5.942567067,0,18,18,0.13,0
10.6,7.785102483,0,56,56,0.13,1.5
11.7,10.54937373,0,94,94,0.13,3.1
13.3,10.66505686,614,215,597,0.13,3.6
13.9,9.954752778,706,206,726,0.13,2.1
16.7,9.828441722,736,220,811,0.13,2.1
17.8,10.56261984,742,222,828,0.13,6.7
19.4,11.21816301,724,214,777,0.13,3.6
17.8,11.31555563,679,195,661,0.13,3.1
19.4,10.76143044,595,163,491,0.13,5.2
16.1,10.43206702,445,119,288,0.13,8.8
13.9,10.0135529,182,64,98,0.13,7.7
12.2,9.103326633,2,4,4,0.13,7.2
11.7,9.322489178,0,0,0,0.13,5.7
11.1,8.998817383,0,0,0,0.13,5.7
11.1,8.170867772,0,0,0,0.13,5.7
11.1,8.301618422,0,0,0,0.13,4.6
10,7.708171061,0,0,0,0.13,2.6
10,7.815379783,0,0,0,0.13,0
9.4,7.907538167,0,0,0,0.13,2.1
10,6.883043922,0,0,0,0.13,0
10,7.382059,0,0,0,0.13,2.1
10.6,7.477619661,0,0,0,0.13,6.2
10.6,6.669390967,0,0,0,0.13,3.6
10.6,6.868831367,37,40,44,0.13,4.1
11.7,8.51503065,464,81,215,0.13,2.6
13.3,10.08436676,527,122,371,0.13,3.6
13.9,9.987568672,409,136,393,0.13,4.1
15,10.76059033,523,204,592,0.13,4.1
15.6,11.73824598,736,150,745,0.13,3.1
17.8,11.57778082,823,132,807,0.13,6.2
17.8,11.53853154,805,146,774,0.13,6.7
17.8,12.26512259,624,197,627,0.13,5.7
17.8,12.20998086,610,142,480,0.13,5.7
17.8,11.779252,635,85,328,0.13,4.6
15.6,11.5380318,336,63,126,0.13,4.1
13.3,10.76037658,46,5,7,0.13,4.1
12.2,10.06480874,0,0,0,0.13,3.1
11.7,9.7855494,0,0,0,0.13,2.6
11.7,9.107386394,0,0,0,0.13,0
11.7,9.565611289,0,0,0,0.13,2.1
11.1,9.285012672,0,0,0,0.13,0
10.6,8.394176011,0,0,0,0.13,0
10,8.371293261,0,0,0,0.13,0
10,8.147528294,0,0,0,0.13,0
8.3,7.696304328,0,0,0,0.13,3.1
10.6,7.307435722,0,0,0,0.13,2.6
10,6.964150317,0,0,0,0.13,0
9.4,7.11119335,50,32,37,0.13,0
12.2,8.204765728,212,115,178,0.13,1.5
13.3,9.265259278,259,169,293,0.13,2.1
14.4,10.20097441,470,222,519,0.13,3.1
15,11.10016427,458,244,586,0.13,3.1
15.6,11.39877738,109,312,400,0.13,3.1
17.8,11.36599382,179,413,561,0.13,4.6
17.2,11.52042418,105,425,507,0.13,4.1
17.2,11.82092981,0,250,250,0.13,5.2
16.1,11.63775299,0,153,153,0.13,5.2
14.4,11.8566457,0,95,95,0.13,7.7
14.4,11.59852087,0,37,37,0.13,6.2
12.8,11.97574011,1,5,5,0.13,2.6
12.2,11.24722073,0,0,0,0.13,2.6
12.2,10.10789102,0,0,0,0.13,4.1
12.2,9.574540044,0,0,0,0.13,4.6
11.7,10.95048867,0,0,0,0.13,7.2
12.2,10.32525267,0,0,0,0.13,6.2
11.7,8.662904861,0,0,0,0.13,7.7
11.7,8.207108178,0,0,0,0.13,5.7
11.1,7.920181194,0,0,0,0.13,6.2
11.1,7.414342511,0,0,0,0.13,7.7
11.1,6.549523222,0,0,0,0.13,6.7
10.6,6.927501517,0,0,0,0.13,6.2
11.7,7.906093383,258,27,53,0.13,5.7
13.3,9.191369894,627,54,241,0.13,5.2
14.4,10.37663832,779,76,452,0.13,6.2
15,11.26412433,856,93,638,0.13,7.2
15.6,11.726739,897,105,778,0.13,8.8
16.1,12.07516338,526,256,685,0.13,9.3
16.1,12.90805871,665,196,747,0.13,7.2
16.1,12.42656993,889,112,813,0.13,9.8
15.6,11.83942438,764,124,656,0.13,11.8
14.4,12.77928636,761,116,542,0.13,7.2
13.9,13.14195439,663,78,336,0.13,10.8
12.8,13.12486797,383,54,128,0.13,6.7
11.7,13.04680356,62,5,8,0.13,8.8
11.7,12.69333556,0,0,0,0.13,11.3
11.1,11.14930086,0,0,0,0.13,8.2
10.6,10.33360427,0,0,0,0.13,6.2
10.6,9.984632789,0,0,0,0.13,4.1
10.6,9.77630315,0,0,0,0.13,6.7
10,9.787997222,0,0,0,0.13,5.2
10,9.313605028,0,0,0,0.13,4.6
8.9,8.372132067,0,0,0,0.13,3.6
7.8,8.820586033,0,0,0,0.13,2.1
8.3,8.967899756,0,0,0,0.13,1.5
7.8,8.408208811,0,0,0,0.13,2.1
9.4,8.557040711,180,32,51,0.13,2.1
12.8,9.217545994,539,71,234,0.13,0
13.9,10.45695714,710,101,447,0.13,1.5
15,11.57890817,797,124,635,0.13,2.1
16.7,12.80684987,845,139,777,0.13,2.1
17.8,13.49366266,858,151,855,0.13,3.1
18.9,14.07170553,713,226,819,0.13,5.7
18.9,14.21984624,664,226,752,0.13,8.8
17.8,13.15456321,724,187,693,0.13,7.7
16.7,12.21048981,472,209,475,0.13,7.7
15.6,11.66642279,395,145,300,0.13,9.3
14.4,11.47626234,322,56,120,0.13,8.2
12.8,13.07640483,23,6,7,0.13,8.2
12.2,11.36125104,0,0,0,0.13,5.7
11.7,10.36431366,0,0,0,0.13,5.2
12.3,11.58868444,0,0,0,0.13,5.1
12.8,13.29636477,0,0,0,0.13,5
13.4,14.37214383,0,0,0,0.13,4.9
13.9,10.61084389,0,0,0,0.13,4.9
14.5,8.071150589,0,0,0,0.13,4.8
15,8.568559372,0,0,0,0.13,4.7
15.6,8.561528228,0,0,0,0.13,4.6
16.1,8.221730461,0,0,0,0.13,0
17.8,7.84443055,0,0,0,0.13,2.6
18.3,9.094493278,233,28,53,0.13,7.7
18.9,10.86074181,493,83,237,0.13,6.7
18.9,12.17539251,649,118,439,0.13,6.2
21.7,13.08362698,681,169,611,0.13,5.2
23.9,13.07033929,748,187,757,0.13,4.6
24.4,13.58975943,748,200,819,0.13,3.6
21.7,14.26425259,777,193,845,0.13,5.2
24.4,14.67343546,758,193,798,0.13,2.6
26.7,14.30786847,718,188,694,0.13,1.5
27.2,14.89637444,352,255,455,0.13,2.6
26.1,14.99298292,621,131,378,0.13,6.7
21.7,15.27399558,338,114,183,0.13,5.2
20.6,13.76163674,56,0,1,0.13,4.1
18.9,12.88576129,0,0,0,0.13,4.6
17.8,12.3659916,0,0,0,0.13,3.1
16.1,11.75537512,0,0,0,0.13,2.1
15.6,11.36260967,0,0,0,0.13,1.5
15,11.86351029,0,0,0,0.13,2.1
13.3,10.47194667,0,0,0,0.13,2.6
13.8,9.647174272,0,0,0,0.13,1.3
14.4,10.11536135,0,0,0,0.13,0
15,9.407610089,0,0,0,0.13,0
12.2,8.858553061,0,0,0,0.13,1.5
13.3,9.139201722,0,0,0,0.13,0
15,10.50136543,311,26,62,0.13,1.5
16.1,11.70765744,613,65,259,0.13,0
16.1,12.22397783,736,92,460,0.13,2.1
16.7,13.17664285,728,152,627,0.13,2.1
18.3,14.24349369,831,160,797,0.13,1.5
21.1,14.49482314,867,157,878,0.13,1.5
24.4,15.08170619,644,278,821,0.13,3.1
22.2,15.70842368,801,182,824,0.13,4.1
28.3,16.27088195,730,183,701,0.13,3.6
28.3,16.53552253,609,180,528,0.13,4.6
27.8,16.33764743,647,127,385,0.13,3.6
23.3,16.00955497,325,111,178,0.13,7.2
19.4,14.94856567,57,1,1,0.13,5.7
19.4,13.50126668,0,0,0,0.13,4.6
20.6,13.53082861,0,0,0,0.13,4.1
20,14.08056122,0,0,0,0.13,3.6
17.8,13.45785742,0,0,0,0.13,3.6
16.7,12.55999882,0,0,0,0.13,1.5
14.4,12.62029983,0,0,0,0.13,2.1
13.3,12.84298974,0,0,0,0.13,2.6
12.2,12.95019376,0,0,0,0.13,1.5
12.2,12.37499771,0,0,0,0.13,2.6
12.2,10.12499568,0,0,0,0.13,3.6
11.7,10.8749966,0,0,0,0.13,4.1
12.2,12.62499566,80,34,44,0.13,4.1
13.9,13.27079573,452,107,252,0.13,4.6
15,14.14886928,627,125,441,0.13,0
16.7,14.45206524,658,179,612,0.13,3.6
17.8,14.12635266,552,270,696,0.13,3.6
17.8,14.79785286,598,284,784,0.13,3.6
17.8,14.97849189,602,274,784,0.13,3.6
18.9,15.10311471,588,280,753,0.13,3.6
18.9,14.46401218,601,259,687,0.13,2.6
19.4,13.73795306,82,268,315,0.13,2.1
17.8,13.59898069,153,191,253,0.13,3.1
16.7,13.1418114,205,148,191,0.13,1.5
14.4,12.24116646,39,1,2,0.13,1.5
14.4,11.62257411,0,0,0,0.13,4.1
13.3,11.46267717,0,0,0,0.13,3.1
12.8,11.46276237,0,0,0,0.13,4.1
12.2,11.12180308,0,0,0,0.13,3.1
12.2,10.91602568,0,0,0,0.13,5.2
12.2,11.16245426,0,0,0,0.13,6.2
11.7,11.06541458,0,0,0,0.13,3.6
11.7,10.91573721,0,0,0,0.13,3.1
11.1,10.56796447,0,0,0,0.13,3.6
11.7,10.35810262,0,0,0,0.13,4.1
11.7,10.35854921,0,0,0,0.13,3.1
12.2,10.35881685,0,26,26,0.13,3.1
12.8,10.64727708,0,76,76,0.13,4.1
13.3,10.81580906,0,124,124,0.13,5.7
13.9,11.07854569,0,177,177,0.13,5.2
15,11.4651,30,277,300,0.13,5.2
16.1,11.87599068,443,354,725,0.13,6.7
16.1,12.03582821,596,290,796,0.13,8.8
15.6,12.03521671,631,244,753,0.13,8.8
15.6,12.03419928,515,265,633,0.13,7.7
15,11.76380048,207,290,409,0.13,7.2
13.9,11.36943145,73,196,226,0.13,8.2
12.8,10.9718858,168,117,153,0.13,7.2
12.2,10.53158613,34,1,2,0.13,7.2
11.7,10.00304938,0,0,0,0.13,6.2
11.7,10.14560708,0,0,0,0.13,6.7
11.1,9.767173906,0,0,0,0.13,6.2
11.1,9.693646011,0,0,0,0.13,5.7
11.1,9.5810094,0,0,0,0.13,4.1
11.1,9.411884489,0,0,0,0.13,4.1
11.1,9.411438417,0,0,0,0.13,5.2
10.6,9.411172356,0,0,0,0.13,4.1
10.6,9.410727022,0,0,0,0.13,4.1
11.1,9.410904756,0,0,0,0.13,4.6
11.1,9.411172356,0,0,0,0.13,5.2
11.1,9.411172356,0,29,29,0.13,4.6
11.7,9.650689872,0,85,85,0.13,5.7
12.2,9.788124522,17,190,199,0.13,6.2
12.8,10.14430877,41,312,339,0.13,5.2
14.4,10.6447247,30,345,368,0.13,5.7
15,11.07352772,96,403,484,0.13,7.2
15.6,11.74031653,30,379,404,0.13,8.8
15.6,11.75930357,30,358,383,0.13,7.7
15.6,11.36563833,25,319,336,0.13,7.2
14.4,11.22351623,81,296,343,0.13,10.3
13.9,11.22351623,66,189,217,0.13,5.7
11.7,10.69407699,219,152,199,0.13,8.8
11.1,10.04874592,47,2,3,0.13,5.2
10.6,10.24819791,0,0,0,0.13,4.1
10,9.48932795,0,0,0,0.13,4.6
10,9.222055406,0,0,0,0.13,5.7
10,9.094358294,0,0,0,0.13,3.6
10,9.22072235,0,0,0,0.13,4.1
10.6,9.419333278,0,0,0,0.13,4.1
10.6,9.692832206,0,0,0,0.13,2.1
10.6,10.57625581,0,0,0,0.13,2.6
10,10.29150486,0,0,0,0.13,3.6
10,9.861307228,0,0,0,0.13,5.2
9.4,9.861497078,0,0,0,0.13,0
10.6,9.240792217,0,28,28,0.13,3.6
10.6,9.208272756,16,118,124,0.13,4.1
11.7,9.412860228,109,237,294,0.13,3.1
13.3,9.6530101,94,319,382,0.13,4.6
14.4,10.12234249,238,358,544,0.13,6.7
15,10.56262673,700,269,861,0.13,7.7
15.6,10.98969134,560,305,784,0.13,9.8
15,11.15626036,582,267,740,0.13,7.2
15,11.15524252,540,250,639,0.13,8.2
14.4,10.87522626,263,277,430,0.13,8.2
13.3,10.70295687,557,168,397,0.13,7.7
12.2,10.46450862,381,112,195,0.13,6.7
11.1,9.763801867,86,2,4,0.13,7.2
11.1,9.693757672,0,0,0,0.13,4.1
10.6,9.861997933,0,0,0,0.13,4.1
10,9.861997933,0,0,0,0.13,3.6
10,9.957509206,0,0,0,0.13,4.6
10,9.374998456,0,0,0,0.13,4.1
9.4,7.749998783,0,0,0,0.13,2.6
8.9,7.624998161,0,0,0,0.13,2.6
8.9,9.249999272,0,0,0,0.13,3.1
8.9,9.633951633,0,0,0,0.13,1.5
9.4,9.412901367,0,0,0,0.13,0
9.4,9.413065933,0,0,0,0.13,2.1
10,9.697551333,22,36,39,0.13,2.6
11.1,9.862499389,368,128,253,0.13,1.5
12.8,10.17572913,652,134,475,0.13,3.6
12.8,10.64727708,635,202,631,0.13,4.1
13.9,11.07746581,422,326,657,0.13,2.6
15,11.74519037,730,230,850,0.13,2.6
16.7,12.28521188,771,220,882,0.13,3.6
17.8,12.73446352,558,316,772,0.13,3.1
16.7,13.44141542,251,356,538,0.13,8.8
15.6,13.06285778,38,255,277,0.13,8.8
13.3,11.74627821,99,200,241,0.13,9.8
12.2,11.28146897,189,117,159,0.13,7.7
11.1,11.06374772,45,3,4,0.13,9.3
11.1,10.2559613,0,0,0,0.13,7.2
10,9.260887661,0,0,0,0.13,5.7
10.6,8.900503539,0,0,0,0.13,6.2
10,8.900503539,0,0,0,0.13,5.7
10,8.900503539,0,0,0,0.13,4.1
10,8.900503539,0,0,0,0.13,3.6
10,8.900503539,0,0,0,0.13,4.1
10,9.223537494,0,0,0,0.13,4.6
10,9.095514861,0,0,0,0.13,3.6
10,9.223537494,0,0,0,0.13,3.6
10,9.412594061,0,0,0,0.13,3.6
10.6,9.412594061,0,26,26,0.13,4.6
10.6,9.4130369,0,86,86,0.13,4.6
11.1,9.413300739,0,125,125,0.13,2.6
12.2,9.653317822,12,240,248,0.13,2.6
13.3,10.12304038,0,227,227,0.13,6.2
13.3,10.31809903,12,297,307,0.13,8.2
13.3,10.62883048,0,245,245,0.13,7.7
12.8,11.07638608,0,262,262,0.13,8.8
12.2,10.65867951,12,220,228,0.13,8.2
12.2,10.62780926,244,293,437,0.13,7.7
12.2,10.50301122,79,198,231,0.13,7.2
11.7,10.31576786,179,116,156,0.13,6.7
11.7,9.989185772,45,3,4,0.13,6.2
11.7,9.789101606,0,0,0,0.13,4.6
11.7,9.789712728,0,0,0,0.13,7.7
11.7,9.790079867,0,0,0,0.13,6.7
11.7,9.790079867,0,0,0,0.13,9.3
11.7,9.790079867,0,0,0,0.13,7.2
11.1,9.210947217,0,0,0,0.13,6.7
11.1,9.206982261,0,0,0,0.13,6.2
11.1,9.412327544,0,0,0,0.13,7.2
10.6,9.070175361,0,0,0,0.13,4.6
10.6,8.864036389,0,0,0,0.13,3.1
10.6,8.86439885,0,0,0,0.13,5.7
11.1,8.86439885,0,24,24,0.13,4.6
11.1,8.86439885,6,115,117,0.13,6.7
12.8,9.145211011,29,215,231,0.13,6.2
13.3,9.6261921,265,311,491,0.13,6.7
14.4,10.3708706,606,279,760,0.13,6.2
