Hourly Dry Bulb (deg C),Hourly Wet Bulb (deg C),Hourly Direct Normal Irradiance (W/m2),Hourly Diffuse Horizontal Irradiance (W/m2),Hourly Global Horizontal Irradiance (W/m2),Hourly Albedo,Hourly Wind Speed (m/s)
7.2,6.550593256,526,185,446,0.16,0
7.8,6.409180194,512,166,402,0.16,1.5
8.3,7.4613258,532,133,333,0.16,2.6
8.3,7.305205572,397,127,227,0.16,1.5
8.3,6.756675744,0,0,0,0.16,1.5
8.3,6.756675744,0,0,0,0.16,2.1
8.3,6.703323217,0,0,0,0.16,1.5
7.8,6.337722411,0,0,0,0.16,0
6.7,6.139333533,0,0,0,0.16,2.1
6.7,6.139333533,0,0,0,0.16,0
10,5.788590767,0,0,0,0.16,5.7
8.9,5.883672744,0,0,0,0.16,4.1
9.4,6.081042589,0,0,0,0.16,4.1
8.9,6.641722844,0,0,0,0.16,1.5
6.1,6.672335856,0,0,0,0.16,1.5
6.7,6.489749472,0,0,0,0.16,1.5
7.2,6.793302506,0,0,0,0.16,2.6
8.3,6.67168645,0,0,0,0.16,1.5
7.8,6.48900635,0,0,0,0.16,0
8.9,7.078494556,0,1,1,0.16,1.5
8.9,7.432138717,0,48,48,0.16,2.1
10,7.432138717,0,104,104,0.16,2.1
7.8,7.747948428,58,185,209,0.16,5.7
7.8,7.931940639,0,87,87,0.16,5.7
8.9,7.930968467,18,189,198,0.16,3.1
8.9,8.220444378,259,214,334,0.16,3.1
10,8.4063624,141,181,234,0.16,4.1
9.4,8.401506933,309,146,225,0.16,3.1
8.9,7.800720961,0,0,0,0.16,2.6
8.3,7.146409856,0,0,0,0.16,4.1
7.8,6.369942061,0,0,0,0.16,4.1
7.2,6.057070467,0,0,0,0.16,3.6
6.7,5.744416761,0,0,0,0.16,3.1
6.7,5.225354517,0,0,0,0.16,0
6.1,5.037107856,0,0,0,0.16,2.1
5.6,4.1043054,0,0,0,0.16,0
5.6,3.823992433,0,0,0,0.16,0
5,3.706458072,0,0,0,0.16,1.5
5,3.824125944,0,0,0,0.16,0
5,3.99999705,0,0,0,0.16,1.5
4.4,3.374997872,0,0,0,0.16,1.5
4.4,4.495141094,0,0,0,0.16,2.1
3.9,3.935884761,0,0,0,0.16,2.1
3.9,2.718832806,69,1,2,0.16,0
4,3.849343461,462,41,121,0.16,1.5
7.8,5.801189872,657,71,280,0.16,2.1
9,5.820020039,724,95,403,0.16,2.6
10,6.703697783,768,106,481,0.16,1.5
13,7.312944589,786,107,501,0.16,2.1
12,7.807762683,561,153,414,0.16,0
14,8.762548706,556,156,369,0.16,0
13.9,9.35088995,330,118,203,0.16,0
10.6,9.986585789,0,0,0,0.16,3.1
11.7,9.179787967,0,0,0,0.16,1.5
10,7.989548922,0,0,0,0.16,3.1
8.9,7.684683128,0,0,0,0.16,3.6
8.9,6.977327639,0,0,0,0.16,3.6
9.4,6.553913861,0,0,0,0.16,4.1
9.4,6.909937289,0,0,0,0.16,4.6
8.9,7.269286972,0,0,0,0.16,4.1
7.8,6.659307333,0,0,0,0.16,3.1
10,5.8827822,0,0,0,0.16,3.1
8.3,5.415243017,0,0,0,0.16,0
6.1,4.977634872,0,0,0,0.16,2.6
7.2,4.816428194,0,0,0,0.16,4.1
6.7,4.416134683,0,0,0,0.16,2.6
6.1,5.406578639,0,0,0,0.16,2.1
6.1,6.780554078,70,1,2,0.16,2.6
7,6.905690183,422,44,118,0.16,4.1
7.2,7.029627456,528,92,261,0.16,1.5
8,7.503606983,607,122,381,0.16,0
8,8.993781383,655,131,452,0.16,3.1
9,10.29660752,719,139,501,0.16,3.1
9,10.90513298,406,197,387,0.16,1.5
11,10.84471281,479,154,338,0.16,1.5
10.7,10.41119686,79,120,141,0.16,2.6
10,9.9198784,0,0,0,0.16,3.6
10,9.671946806,0,0,0,0.16,0
9.4,9.367734778,0,0,0,0.16,0
8.9,9.079979639,0,0,0,0.16,1.5
8.3,9.285918222,0,0,0,0.16,2.1
7.8,9.111540067,0,0,0,0.16,1.5
6.7,9.174056278,0,0,0,0.16,4.1
6.7,9.268417939,0,0,0,0.16,4.6
6.7,8.908065344,0,0,0,0.16,4.1
6.7,8.658994494,0,0,0,0.16,3.1
6.1,8.624793633,0,0,0,0.16,3.6
6.1,8.569008639,0,0,0,0.16,3.1
6.1,8.470107467,0,0,0,0.16,3.6
6.1,8.429364122,0,0,0,0.16,2.6
4.4,8.3737614,0,0,0,0.16,0
5.6,7.136716572,68,1,2,0.16,2.6
6.8,7.505069172,418,44,118,0.16,3.9
6.8,8.081718322,466,102,251,0.16,2.4
7.1,8.558814961,444,159,349,0.16,0
7.5,9.148453878,470,180,411,0.16,1.3
8.4,9.242831578,592,146,445,0.16,1.1
8.3,8.952950328,486,171,400,0.16,0
9.7,9.000471783,581,135,360,0.16,0
10,9.045351661,441,103,219,0.16,1.5
8.9,8.951008167,0,0,0,0.16,3.1
8.3,8.919919306,0,0,0,0.16,2.1
7.8,8.345514761,0,0,0,0.16,1.5
7.2,8.238166417,0,0,0,0.16,2.1
6.7,8.39119845,0,0,0,0.16,3.6
6.7,7.598403517,0,0,0,0.16,4.6
6.7,4.742251972,0,0,0,0.16,3.6
6.7,3.210535106,0,0,0,0.16,1.5
5.6,3.21114275,0,0,0,0.16,3.6
6.1,3.211506822,0,0,0,0.16,4.1
5.6,3.674892383,0,0,0,0.16,3.1
3.9,3.5754081,0,0,0,0.16,2.1
5,3.040070522,0,0,0,0.16,0
3.9,2.842143567,0,0,0,0.16,1.5
5,3.978910961,0,0,0,0.16,2.6
4.4,3.760573717,39,1,2,0.16,1.5
